Country,Score
Belize,-0.14726863061159004
Uganda,-0.15429352565020077
Jordan,-0.1559949758679569
Bermuda,-0.1664137208559666
Colombia,-0.16645611865863136
Honduras,-0.17130524244339884
Oman,-0.17135225038570034
Rwanda,-0.1737610513178529
Ecuador,-0.1789979188655975
Turks and Caicos Islands,-0.1799348667697395
Bangladesh,-0.19107752175520037
"Micronesia, Federated States of",-0.1993134208933966
Saint Lucia,-0.20844369868964824
Indonesia,-0.2159845418867924
Turkmenistan,-0.22019369825158033
Guinea,-0.22691819608391228
Paraguay,-0.22792333490641278
Libya,-0.24642959023021105
Kenya,-0.24691007348801994
"Congo, Democratic Republic of the",-0.2484161248370404
Zambia,-0.2567636322552036
Myanmar,-0.25715751373019136
Guatemala,-0.26569010538288923
Egypt,-0.2664370852846171
Côte d'Ivoire,-0.267022092631269
Madagascar,-0.27359871057975643
Liberia,-0.2743356747211343
Guinea-Bissau,-0.27484471666482024
Burundi,-0.27577117147101304
Ghana,-0.2777356854715664
Iraq,-0.28478945214998747
Mali,-0.28541663625589603
Comoros,-0.29318263814546275
Cameroon,-0.3124746855087565
Gambia,-0.31392899573692207
Sri Lanka,-0.32750520982874354
South Africa,-0.3343053629080914
Somalia,-0.35968736935110857
Congo,-0.36678545968485254
Pakistan,-0.371495386936323
Argentina,-0.37686307913496553
Afghanistan,-0.37932128339763244
Burkina Faso,-0.3841492527017539
Niger,-0.39248468791865526
Central African Republic,-0.40302183007056697
Botswana,-0.41064682655518486
Papua New Guinea,-0.4257132680715706
Eswatini,-0.4436938209077886
Nigeria,-0.44513486367844785
Gabon,-0.4981822947598163
Sao Tome and Principe,-0.5030269083095187
Equatorial Guinea,-0.5641150881047542
Haiti,-0.6173465277216185
Ethiopia,-0.6245110982461229
Angola,-0.6550120716850621
Suriname,-0.6586750032516898
Malawi,-0.6785628409919111
"Iran, Islamic Republic of",-0.7074447010486767
Sudan,-1.1839076896427239
Zimbabwe,-1.2758357612480113
